Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell,Resolved,Reason
group27,com.csci5308.medinteract.medicine.controller,MedicineControllerTestIT,fetchAll,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.medicine.controller,MedicineControllerTestIT,getPrescriptionById,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.medicine.controller,MedicineControllerTest,testFetchAll,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.medicine.controller,MedicineControllerTest,testGetMedicineById,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,addArticle,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,addInvalidDoctorArticle,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,updateArticle,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,updateArticleWithoutImage,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,updateArticleWitInvalidID,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchAllArticles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchAllArticles,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchAllDoctorArticles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchAllDoctorArticles,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchArticle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchArticle,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchInvalidArticle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchInvalidArticle,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchArticleWithSuggestion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchArticleWithSuggestion,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchArticleWithInvalidSuggestion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,fetchArticleWithInvalidSuggestion,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,deleteInvalidArticle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,deleteInvalidArticle,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,deleteArticle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleControllerTestIT,deleteArticle,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testFetchAllDoctorArticles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16,Yes,
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testFetchAllDoctorArticles,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.article.repository.ArticleRepository.findAllDoctorArticles; com.csci5308.medinteract.article.service.ArticleService.fetchAllDoctorArticles,Yes,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testFetchAllDoctorArticlesWithNoArticles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testFetchAllDoctorArticlesWithNoArticles,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.article.repository.ArticleRepository.findAllDoctorArticles; com.csci5308.medinteract.article.service.ArticleService.fetchAllDoctorArticles,No,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testFetchArticleDetails,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10,Yes,
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testFetchArticleDetails,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.article.repository.ArticleRepository.fetchById; com.csci5308.medinteract.article.service.ArticleService.fetchArticleDetails,No,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testFetchLatestArticles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,Yes,
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testFetchLatestArticles,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.csci5308.medinteract.article.repository.ArticleRepository.fetchLatestArticles; com.csci5308.medinteract.article.service.ArticleService.fetchLatestArticles,No,"""Eager test smells"" are present when multiple functions are required to be tested to ensure their functionality or when they are interdependent on each other."
group27,com.csci5308.medinteract.article.service,ArticleServiceTest,testDeleteArticle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
