Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Resolved
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + patientModel.getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for within one hour!"");"" is 233.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`doctorModel.getId()`data.get(""message"").toString()`""Hourly Reminder""`""`""primary""`LocalDateTime.now());"" is 152.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + doctorModel.getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for today!"");"" is 221.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`patientModel.getId()`data.get(""message"").toString()`""Daily Reminder""`""`""info""`LocalDateTime.now());"" is 168.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + patientModel.getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for today!"");"" is 223.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`doctorModel.getId()`data.get(""message"").toString()`""Daily Reminder""`""`""info""`LocalDateTime.now());"" is 148.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + doctorModel.getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for after 3 days!"");"" is 228.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`patientModel.getId()`data.get(""message"").toString()`""Three Days Reminder""`""`""dark""`LocalDateTime.now());"" is 173.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + patientModel.getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for after 3 days!"");"" is 230.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`doctorModel.getId()`data.get(""message"").toString()`""Three Days Reminder""`""`""dark""`LocalDateTime.now());"" is 153.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + doctorModel.getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for after a week!"");"" is 228.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`patientModel.getId()`data.get(""message"").toString()`""Weekly Reminder""`""`""light""`LocalDateTime.now());"" is 170.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + patientModel.getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for after a week"");"" is 229.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`doctorModel.getId()`data.get(""message"").toString()`""Weekly Reminder""`""`""light""`LocalDateTime.now());"" is 150.",35,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Magic Number,The method contains a magic number: 2,35,Resolved
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Magic Number,The method contains a magic number: 2,35,Resolved
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Magic Number,The method contains a magic number: 2,35,Resolved
group27,com.csci5308.medinteract.utilities,Scheduler,testScheduler,Magic Number,The method contains a magic number: 2,35,Resolved
group27,com.csci5308.medinteract.utilities,Scheduler,hourlyScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + doctorModel.getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for within one hour!"");"" is 231.",118,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,hourlyScheduler,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`patientModel.getId()`data.get(""message"").toString()`""Hourly Reminder""`""`""primary""`LocalDateTime.now());"" is 172.",118,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,hourlyScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + patientModel.getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for within one hour!"");"" is 233.",118,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,hourlyScheduler,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`doctorModel.getId()`data.get(""message"").toString()`""Hourly Reminder""`""`""primary""`LocalDateTime.now());"" is 152.",118,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,hourlyScheduler,Magic Number,The method contains a magic number: 2,118,It is an list index
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + doctorModel.getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for today!"");"" is 221.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`patientModel.getId()`data.get(""message"").toString()`""Daily Reminder""`""`""info""`LocalDateTime.now());"" is 168.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + patientModel.getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for today!"");"" is 223.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`doctorModel.getId()`data.get(""message"").toString()`""Daily Reminder""`""`""info""`LocalDateTime.now());"" is 148.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + doctorModel.getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for after 3 days!"");"" is 228.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`patientModel.getId()`data.get(""message"").toString()`""Three Days Reminder""`""`""dark""`LocalDateTime.now());"" is 173.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + patientModel.getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for after 3 days!"");"" is 230.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`doctorModel.getId()`data.get(""message"").toString()`""Three Days Reminder""`""`""dark""`LocalDateTime.now());"" is 153.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + doctorModel.getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for after a week!"");"" is 228.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`patientModel.getId()`data.get(""message"").toString()`""Weekly Reminder""`""`""light""`LocalDateTime.now());"" is 170.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""data.put(""message""`""Your upcoming appointment with "" + patientModel.getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is scheduled for after a week"");"" is 229.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`doctorModel.getId()`data.get(""message"").toString()`""Weekly Reminder""`""`""light""`LocalDateTime.now());"" is 150.",142,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Magic Number,The method contains a magic number: 2,142,It is an list index
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Magic Number,The method contains a magic number: 2,142,It is an list index
group27,com.csci5308.medinteract.utilities,Scheduler,dailyScheduler,Magic Number,The method contains a magic number: 2,142,It is an list index
group27,com.csci5308.medinteract.utilities.JWT,JWT,generateToken,Long Statement,"The length of the statement ""token.put(""token""`Jwts.builder().setSubject(username).setClaims(claims).setIssuedAt(now).setExpiration(expiration).signWith(SignatureAlgorithm.HS512`SECRET_KEY).compact());"" is 172.",16,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.utilities.JWT,JWT,generateToken,Magic Number,The method contains a magic number: 60,16,Resolved
group27,com.csci5308.medinteract.utilities.JWT,JWT,generateToken,Magic Number,The method contains a magic number: 60,16,Resolved
group27,com.csci5308.medinteract.utilities.JWT,JWT,generateToken,Magic Number,The method contains a magic number: 1000,16,Resolved
